"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL"
NA,"2022 D.C. United","","Jon Kempin","USA","GK","28",2,5,0,1,1,0,3.4,0.31,-1.6,-0.81,5,24,20.8,29,9,41.4,38.4,17,70.6,47.1,36,0,0,0,0,6.7,"https://fbref.com/en/players/063adc5e/Jon-Kempin"
NA,"2022 Austin FC","","Brad Stuver","USA","GK","30",30.1,42,5,0,6,1,45,0.28,4,0.13,120,369,32.5,924,151,25.8,30.2,249,52.6,43.5,406,29,7.1,57,1.9,16.6,"https://fbref.com/en/players/6a1940d5/Brad-Stuver"
NA,"2022 Austin FC","","Andrew Tarbell","USA","GK","28",3.9,7,0,0,0,0,4.4,0.2,-2.6,-0.68,9,29,31,158,30,11.4,24.3,28,39.3,37,40,2,5,6,1.53,16.6,"https://fbref.com/en/players/c5487a34/Andrew-Tarbell"
NA,"2022 FC Dallas","","Maarten Paes","NED","GK","23",32,34,4,2,3,0,36.6,0.25,2.6,0.08,86,347,24.8,706,123,31.6,31.5,253,49,39.1,485,19,3.9,19,0.59,12.3,"https://fbref.com/en/players/eb343262/Maarten-Paes"
NA,"2022 FC Dallas","","Jimmy Maurer","USA","GK","33",2,3,1,0,0,0,2,0.12,-1,-0.51,5,24,20.8,49,7,38.8,36.7,14,35.7,33.8,36,1,2.8,0,0,2,"https://fbref.com/en/players/ca1c6f3d/Jimmy-Maurer"
NA,"2022 LA Galaxy","","Jonathan Bond","ENG","GK","28",34,51,6,1,5,0,45.2,0.28,-5.8,-0.17,129,349,37,967,181,22.9,28.2,234,54.7,41.4,428,22,5.1,83,2.44,19.4,"https://fbref.com/en/players/c3a86eea/Jonathan-Bond"
NA,"2022 Nashville SC","","Joe Willis","USA","GK","33",32,38,6,2,6,0,40.4,0.24,2.4,0.08,177,427,41.5,678,155,40.9,35,262,57.3,43.9,400,39,9.8,22,0.69,11.5,"https://fbref.com/en/players/467f09c8/Joe-Willis"
NA,"2022 Nashville SC","","Elliot Panicco","USA","GK","25",2,3,1,1,0,0,3.1,0.22,0.1,0.06,6,29,20.7,36,7,47.2,39.4,21,57.1,46.4,34,2,5.9,0,0,4.8,"https://fbref.com/en/players/e93972ac/Elliot-Panicco"
NA,"2022 Minnesota United","","Dayne St. Clair","CAN","GK","24",31.5,48,4,2,4,4,50.9,0.31,6.9,0.22,138,424,32.5,617,123,43.3,37.2,259,60.6,44.3,515,12,2.3,22,0.7,12.7,"https://fbref.com/en/players/3f41d25f/Dayne-St-Clair"
NA,"2022 Minnesota United","","Tyler Miller","USA","GK","28",2.5,3,0,0,1,0,3,0.27,0,-0.01,13,31,41.9,65,21,29.2,33.5,17,70.6,51.6,46,2,4.3,13,5.2,23.3,"https://fbref.com/en/players/7827a6b3/Tyler-Miller"
