"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL"
"2022-2023","Mallorca","La Liga","Predrag Rajković","SRB","GK","27-216",36,40,6,0,3,0,39.2,0.25,-0.8,-0.02,323,786,41.1,899,125,61.8,45.4,309,74.4,54,608,32,5.3,19,0.53,11.7,"https://fbref.com/en/players/58ad9383/Predrag-Rajkovic"
"2022-2023","Mallorca","La Liga","Dominik Greif","SVK","GK","26-059",1,3,0,0,0,0,2.2,0.28,-0.8,-0.76,19,34,55.9,23,2,87,54.9,15,93.3,64.5,19,2,10.5,0,0,4,"https://fbref.com/en/players/30061f53/Dominik-Greif"
"2022-2023","Cádiz","La Liga","Jeremías Ledesma","ARG","GK","30-111",33,47,8,1,5,0,45.4,0.22,-1.6,-0.05,224,710,31.5,802,133,58.1,44.8,275,88.7,64.2,575,41,7.1,26,0.79,10.9,"https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma"
"2022-2023","Cádiz","La Liga","David Gil","ESP","GK","29-144",4,5,1,0,1,0,6.3,0.23,1.3,0.32,34,94,36.2,93,15,64.5,46.4,36,94.4,65.1,56,2,3.6,4,1,13.6,"https://fbref.com/en/players/fea23125/David-Gil"
"2022-2023","Getafe","La Liga","David Soria","ESP","GK","30-061",37,45,4,0,7,2,45.5,0.23,2.5,0.07,389,866,44.9,764,99,74.5,49.5,327,90.8,59.3,559,36,6.4,46,1.24,15,"https://fbref.com/en/players/8f8c6934/David-Soria"
"2022-2023","Valencia","La Liga","Giorgi Mamardashvili","GEO","GK","22-248",37,44,2,0,7,2,42.2,0.28,0.2,0,171,507,33.7,826,137,40.7,35,231,74,53.9,449,34,7.6,47,1.27,16.4,"https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili"
"2022-2023","Almería","La Liga","Fernando","ESP","GK","32-359",35.5,58,4,1,4,1,58.9,0.3,1.9,0.05,193,541,35.7,953,208,38.5,36.6,336,51.8,42.6,593,39,6.6,26,0.73,12.5,"https://fbref.com/en/players/dabb2827/Fernando"
"2022-2023","Almería","La Liga","Fernando Pacheco","ESP","GK","31-017",1,2,0,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25,26,8,42.3,40.2,4,25,36,16,1,6.3,2,2,14.5,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"2022-2023","Almería","La Liga","Diego Mariño","ESP","GK","33-026",0.5,2,0,0,0,0,1.4,0.28,-0.6,-1.25,2,3,66.7,3,1,33.3,35.7,5,40,45.6,12,0,0,0,0,7,"https://fbref.com/en/players/d9235a45/Diego-Marino"
"2022-2023","Celta Vigo","La Liga","Agustín Marchesín","ARG","GK","35-080",19,29,2,1,4,1,20.7,0.24,-7.3,-0.38,103,267,38.6,500,75,39.8,35.3,131,51.9,42.9,253,14,5.5,25,1.32,18.1,"https://fbref.com/en/players/853b7c48/Agustin-Marchesin"
"2022-2023","Celta Vigo","La Liga","Iván Villar","ESP","GK","25-330",18,23,3,0,6,0,21.6,0.31,-1.4,-0.08,77,223,34.5,423,94,33.3,33.3,147,55.8,44.6,247,6,2.4,14,0.78,14.2,"https://fbref.com/en/players/cde52ef5/Ivan-Villar"
"2022-2023","Valladolid","La Liga","Jordi Masip","ESP","GK","34-152",26.9,42,5,0,0,1,45.2,0.27,4.2,0.16,132,385,34.3,707,120,37.2,36,233,52.4,42.5,394,14,3.6,13,0.48,12.6,"https://fbref.com/en/players/8fae77ea/Jordi-Masip"
"2022-2023","Valladolid","La Liga","Sergio Asenjo","ESP","GK","33-341",10,21,1,1,0,0,16.8,0.31,-4.2,-0.42,58,162,35.8,260,46,38.8,35.8,92,66.3,51.2,166,5,3,17,1.7,16.1,"https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo"
"2022-2023","Valladolid","La Liga","Álvaro Aceves","ESP","GK","19-313",0.1,0,0,0,0,0,0.1,0.04,0.1,0.9,1,2,50,7,3,28.6,25.7,1,0,24,1,0,0,2,13.85,33,"https://fbref.com/en/players/be6faae0/Alvaro-Aceves"
"2022-2023","Espanyol","La Liga","Fernando Pacheco","ESP","GK","31-017",16,33,4,0,3,0,26.6,0.25,-6.4,-0.4,127,272,46.7,417,56,42.4,36.2,137,69.3,49.6,242,16,6.6,19,1.19,13.8,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"2022-2023","Espanyol","La Liga","Álvaro Fernández","ESP","GK","25-052",11,18,0,0,4,1,15.2,0.31,-1.8,-0.17,104,221,47.1,253,37,55.7,42.5,103,77.7,54.8,153,5,3.3,15,1.36,16.3,"https://fbref.com/en/players/f127d782/Alvaro-Fernandez"
"2022-2023","Espanyol","La Liga","Benjamin Lecomte","FRA","GK","32-039",10,14,0,0,2,1,10.4,0.26,-2.6,-0.26,72,160,45,192,25,57.3,43.1,80,62.5,47,146,4,2.7,11,1.1,15.3,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
"2022-2023","Elche","La Liga","Édgar Badía","ESP","GK","31-112",35,62,7,0,4,2,68.7,0.31,8.7,0.25,190,419,45.3,750,165,34.5,34.4,284,56.3,42.6,567,21,3.7,18,0.51,12.4,"https://fbref.com/en/players/e4346678/Edgar-Badia"
"2022-2023","Elche","La Liga","Axel Werner","ARG","GK","27-096",2,4,0,0,2,0,2.4,0.31,-1.6,-0.82,4,20,20,53,9,32.1,34.9,16,18.8,33.8,26,1,3.8,1,0.5,14,"https://fbref.com/en/players/c0b1a6da/Axel-Werner"
"2022-2023","Paris Saint-Germain","Ligue 1","Gianluigi Donnarumma","ITA","GK","24-099",37.9,40,2,1,3,1,43.5,0.27,4.5,0.12,53,148,35.8,728,167,15,23.8,207,18.8,24.1,436,33,7.6,27,0.71,12.2,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma"
"2022-2023","Paris Saint-Germain","Ligue 1","Alexandre Letellier","FRA","GK","32-175",0.1,0,0,0,0,0,0,NA,0,0,0,0,NA,3,0,0,19,1,0,11,1,0,0,0,0,NA,"https://fbref.com/en/players/96fcd380/Alexandre-Letellier"
"2022-2023","Lens","Ligue 1","Brice Samba","FRA","GK","29-040",37,28,3,0,6,1,32.4,0.24,5.4,0.15,174,435,40,1075,140,35.5,33.3,160,33.1,32.7,384,34,8.9,41,1.11,15.4,"https://fbref.com/en/players/60d90c55/Brice-Samba"
"2022-2023","Lens","Ligue 1","Jean-Louis Leca","FRA","GK","37-256",1,1,0,0,0,0,1.3,0.34,0.3,0.34,9,15,60,29,6,48.3,36.9,10,10,19.8,17,1,5.9,0,0,8.4,"https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca"
"2022-2023","Marseille","Ligue 1","Pau López","ESP","GK","28-173",32.5,34,5,0,6,1,33.8,0.24,0.8,0.02,112,324,34.6,941,132,25.1,31,172,51.2,40.4,370,22,5.9,37,1.14,15.4,"https://fbref.com/en/players/20b9f052/Pau-Lopez"
"2022-2023","Marseille","Ligue 1","Rubén Blanco","ESP","GK","27-314",5.5,6,0,0,1,2,3.9,0.2,-0.1,-0.02,11,47,23.4,165,31,20.6,27.4,41,31.7,32.1,73,3,4.1,7,1.27,18,"https://fbref.com/en/players/967f34d3/Ruben-Blanco"
"2022-2023","Rennes","Ligue 1","Steve Mandanda","FRA","GK","38-068",33.5,31,2,0,5,1,32.4,0.28,2.4,0.07,163,420,38.8,1022,166,30.6,31.5,192,55.7,41.5,382,35,9.2,51,1.52,16.7,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda"
"2022-2023","Rennes","Ligue 1","Doğan Alemdar","TUR","GK","20-218",4.5,8,1,0,2,0,6.5,0.29,-1.5,-0.32,24,67,35.8,109,14,38.5,33,35,71.4,51.4,75,5,6.7,5,1.11,15.1,"https://fbref.com/en/players/9e17ccff/Dogan-Alemdar"
"2022-2023","Lille","Ligue 1","Lucas Chevalier","FRA","GK","21-210",32,31,2,2,1,3,30.5,0.26,2.5,0.08,76,282,27,903,121,26.2,29.3,106,42.5,37,316,22,7,25,0.78,13.5,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier"
"2022-2023","Lille","Ligue 1","Leonardo César Jardim","BRA","GK","28-076",6,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f5dfc256/Leonardo-Cesar-Jardim"
"2022-2023","Monaco","Ligue 1","Alexander Nübel","GER","GK","26-247",38,58,5,1,4,3,49.5,0.24,-5.5,-0.15,189,445,42.5,875,203,32.2,32.8,266,61.3,45.5,454,36,7.9,33,0.87,12.7,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
"2022-2023","Lyon","Ligue 1","Anthony Lopes","POR","GK","32-246",31.3,39,7,2,5,2,41.6,0.27,4.6,0.15,115,318,36.2,838,134,31.4,31.9,183,30.1,31.8,358,19,5.3,25,0.8,14,"https://fbref.com/en/players/f00de885/Anthony-Lopes"
"2022-2023","Lyon","Ligue 1","Rémy Riou","FRA","GK","35-302",6.7,8,4,0,0,1,8.8,0.2,1.8,0.27,12,49,24.5,178,30,22.5,28.7,47,19.1,26,78,6,7.7,10,1.5,17.2,"https://fbref.com/en/players/7f41ee30/Remy-Riou"
"2022-2023","Clermont Foot","Ligue 1","Mory Diaw","SEN","GK","29-347",37,47,8,0,5,0,55.4,0.28,8.4,0.23,234,600,39,1209,173,40,37,255,45.9,40.4,464,34,7.3,25,0.68,11.5,"https://fbref.com/en/players/f41a69e6/Mory-Diaw"
"2022-2023","Clermont Foot","Ligue 1","Ouparine Djoco","SEN","GK","25-043",1,2,0,0,0,0,1,0.34,-1,-0.97,3,17,17.6,30,4,40,33.6,10,50,31.7,14,1,7.1,5,5,21.3,"https://fbref.com/en/players/62124972/Ouparine-Djoco"
"2022-2023","Nice","Ligue 1","Kasper Schmeichel","DEN","GK","36-211",36,35,3,2,5,0,35.9,0.23,0.9,0.02,171,390,43.8,909,119,30.9,32.7,278,39.2,35.7,455,24,5.3,23,0.64,12.9,"https://fbref.com/en/players/53af52f3/Kasper-Schmeichel"
"2022-2023","Nice","Ligue 1","Marcin Bułka","POL","GK","23-243",2,2,0,0,0,0,3.1,0.52,1.1,0.56,8,20,40,49,11,20.4,28.1,18,55.6,44.2,26,2,7.7,3,1.5,13.8,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka"
"2022-2023","Lorient","Ligue 1","Yvon Mvogo","SUI","GK","28-363",20.1,29,1,0,4,1,27.1,0.27,-0.9,-0.04,86,228,37.7,473,85,34,32.1,145,46.2,36.7,382,21,5.5,7,0.35,8.5,"https://fbref.com/en/players/dc29b608/Yvon-Mvogo"
"2022-2023","Lorient","Ligue 1","Vito Mannone","ITA","GK","35-094",17.9,24,1,2,2,0,25.2,0.29,1.2,0.07,56,176,31.8,471,101,25.9,29.5,112,48.2,37.5,344,12,3.5,9,0.5,10.6,"https://fbref.com/en/players/c4173f1a/Vito-Mannone"
"2022-2023","Reims","Ligue 1","Yehvann Diouf","FRA","GK","23-200",31,31,1,2,2,1,37.1,0.27,7.1,0.23,137,309,44.3,874,191,28.4,31.7,185,33,34.3,430,40,9.3,35,1.13,12.7,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf"
"2022-2023","Reims","Ligue 1","Patrick Pentz","AUT","GK","26-153",7,14,2,0,2,1,11.9,0.34,-1.1,-0.16,29,94,30.9,152,25,44.7,36.3,59,44.1,38.7,103,8,7.8,4,0.57,12.2,"https://fbref.com/en/players/0810b6df/Patrick-Pentz"
"2022-2023","Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","32-039",19,22,2,0,2,0,29.6,0.29,7.6,0.4,115,321,35.8,475,72,46.7,37.7,165,60,44.2,273,15,5.5,13,0.68,11,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte"
"2022-2023","Montpellier","Ligue 1","Jonas Omlin","SUI","GK","29-145",13,26,3,0,2,2,24.1,0.28,0.1,0,53,161,32.9,330,77,32.1,31.7,85,64.7,47.3,209,14,6.7,12,0.93,12,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
"2022-2023","Montpellier","Ligue 1","Bingourou Kamara","SEN","GK","26-226",4.5,11,1,0,2,0,9.1,0.29,-1.9,-0.41,18,57,31.6,95,19,42.1,35.4,35,48.6,39.9,52,3,5.8,2,0.44,11.2,"https://fbref.com/en/players/3814120d/Bingourou-Kamara"
"2022-2023","Montpellier","Ligue 1","Matis Carvalho","POR","GK","24-037",1.5,3,0,0,0,0,1.9,0.24,-1.1,-0.7,14,43,32.6,38,4,78.9,49.4,14,92.9,61.4,38,2,5.3,0,0,8.3,"https://fbref.com/en/players/8608f269/Matis-Carvalho"
"2022-2023","Toulouse","Ligue 1","Maxime Dupé","FRA","GK","30-092",38,57,4,2,8,3,54.4,0.28,0.4,0.01,136,364,37.4,1006,176,24.5,29.5,264,44.7,37.2,517,30,5.8,21,0.55,10.1,"https://fbref.com/en/players/0e12089d/Maxime-Dupe"
"2022-2023","Brest","Ligue 1","Marco Bizot","NED","GK","32-086",37,54,7,1,11,2,55,0.26,3,0.08,198,477,41.5,806,163,38.3,35.4,289,58.1,44,521,30,5.8,25,0.68,11.7,"https://fbref.com/en/players/3d214e5f/Marco-Bizot"
"2022-2023","Brest","Ligue 1","Joaquín Blázquez","ARG","GK","22-127",1,0,0,0,0,0,0.2,0.06,0.2,0.17,8,13,61.5,18,3,61.1,45.7,11,18.2,26.3,11,2,18.2,0,0,3.5,"https://fbref.com/en/players/6a9e4913/Joaquin-Blazquez"
"2022-2023","Strasbourg","Ligue 1","Matz Sels","BEL","GK","31-098",38,59,10,1,6,0,56.6,0.28,-2.4,-0.06,160,456,35.1,775,130,44.9,36.9,196,55.1,43.9,504,31,6.2,32,0.84,12.9,"https://fbref.com/en/players/834b5c4c/Matz-Sels"
"2022-2023","Nantes","Ligue 1","Alban Lafont","FRA","GK","24-132",37,54,9,1,6,4,54.8,0.26,4.8,0.13,189,517,36.6,943,202,37.2,35.5,247,67.2,49.2,493,42,8.5,39,1.05,12.3,"https://fbref.com/en/players/4e7db402/Alban-Lafont"
"2022-2023","Nantes","Ligue 1","Rémy Descamps","FRA","GK","26-344",1,1,0,0,0,0,1.5,0.25,0.5,0.48,5,9,55.6,20,9,25,33.2,6,66.7,46.5,11,1,9.1,0,0,7,"https://fbref.com/en/players/477e50ce/Remy-Descamps"
"2022-2023","Auxerre","Ligue 1","Benoît Costil","FRA","GK","35-336",19,41,3,0,3,0,34,0.33,-7,-0.37,132,292,45.2,454,72,41.9,36.8,137,74.5,51.7,285,3,1.1,11,0.58,13.1,"https://fbref.com/en/players/2434f24a/Benoit-Costil"
"2022-2023","Auxerre","Ligue 1","Ionuț Radu","ROU","GK","26-007",17,20,0,0,0,1,22.1,0.27,3.1,0.18,116,348,33.3,469,65,52.7,41.3,128,78.9,53.1,274,14,5.1,13,0.76,12.9,"https://fbref.com/en/players/67f649be/Ionut-Radu"
"2022-2023","Auxerre","Ligue 1","Donovan Léon","GUF","GK","30-213",2,2,1,0,0,0,1.9,0.13,-0.1,-0.03,19,57,33.3,55,8,63.6,46.4,24,91.7,66.1,41,0,0,2,1,12.9,"https://fbref.com/en/players/51c83a90/Donovan-Leon"
"2022-2023","Ajaccio","Ligue 1","Benjamin Leroy","FRA","GK","34-058",31.1,60,8,1,10,1,47.8,0.3,-11.2,-0.36,213,522,40.8,657,77,52.4,38.5,212,84,52.2,389,18,4.6,54,1.74,16.9,"https://fbref.com/en/players/1e7aea56/Benjamin-Leroy"
"2022-2023","Ajaccio","Ligue 1","François-Joseph Sollacaro","FRA","GK","29-075",6,14,1,0,1,1,9.1,0.34,-3.9,-0.65,19,87,21.8,102,11,56.9,40.7,40,72.5,48.2,93,6,6.5,6,1,11.5,"https://fbref.com/en/players/f19f32b1/Francois-Joseph-Sollacaro"
"2022-2023","Ajaccio","Ligue 1","Ghjuvanni Quilichini","FRA","GK","20-276",0.9,0,0,0,0,0,0.8,0.24,0.8,0.93,6,24,25,26,2,61.5,43.8,8,100,61,25,2,8,0,0,7.5,"https://fbref.com/en/players/1b729a98/Ghjuvanni-Quilichini"
"2022-2023","Troyes","Ligue 1","Gauthier Gallon","FRA","GK","30-042",29.6,65,5,0,8,2,54.9,0.29,-8.1,-0.27,107,390,27.4,707,144,35.2,33.3,241,58.5,44.6,498,32,6.4,9,0.3,9,"https://fbref.com/en/players/db3164e1/Gauthier-Gallon"
"2022-2023","Troyes","Ligue 1","Mateusz Lis","POL","GK","26-097",8.3,16,2,0,2,0,16.4,0.28,0.4,0.05,39,127,30.7,235,41,38.7,35.2,78,46.2,37.4,154,12,7.8,13,1.56,14.4,"https://fbref.com/en/players/fd78b105/Mateusz-Lis"
"2022-2023","Angers","Ligue 1","Paul Bernardoni","FRA","GK","26-047",27,62,8,1,6,3,51.4,0.31,-7.6,-0.28,94,291,32.3,479,124,39.5,34.6,185,55.1,42.6,357,21,5.9,18,0.67,11.4,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
"2022-2023","Angers","Ligue 1","Yahia Fofana","FRA","GK","22-287",11,19,1,0,3,1,16.4,0.27,-1.6,-0.15,33,125,26.4,256,70,35.2,33.5,69,50.7,41.6,143,17,11.9,10,0.91,11.9,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
"2022-2023","Bayern Munich","Bundesliga","Yann Sommer","SUI","GK","34-169",19,25,7,1,1,0,23.7,0.32,-1.3,-0.07,48,118,40.7,651,83,14.6,25.1,98,23.5,28.7,212,12,5.7,27,1.42,16.7,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
"2022-2023","Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","37-069",12,11,2,0,0,0,14.7,0.29,3.7,0.31,39,79,49.4,435,81,16.6,26.8,69,10.1,23.8,103,4,3.9,23,1.92,19.5,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
"2022-2023","Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","34-305",3,2,0,0,1,0,2.4,0.18,0.4,0.13,9,26,34.6,112,21,20.5,26,18,16.7,23.4,34,2,5.9,4,1.33,17.5,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
"2022-2023","Dortmund","Bundesliga","Gregor Kobel","SUI","GK","25-180",27,32,1,0,5,1,33.8,0.29,2.8,0.1,100,252,39.7,855,122,20.9,28.9,192,38,36.5,295,15,5.1,37,1.37,17.1,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel"
"2022-2023","Dortmund","Bundesliga","Alexander Meyer","GER","GK","32-052",7,12,0,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40,278,35,16.2,27.3,44,34.1,35,91,8,8.8,18,2.57,19.8,"https://fbref.com/en/players/b56dd813/Alexander-Meyer"
"2022-2023","RB Leipzig","Bundesliga","Janis Blaswich","GER","GK","32-033",26,29,6,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.2,985,126,14.9,25.3,156,26.9,30,288,20,6.9,39,1.5,17,"https://fbref.com/en/players/663e080e/Janis-Blaswich"
"2022-2023","RB Leipzig","Bundesliga","Péter Gulácsi","HUN","GK","33-029",6,10,1,0,2,1,10.1,0.37,1.1,0.19,11,37,29.7,179,37,15.6,26.4,36,25,29.6,61,3,4.9,10,1.67,19.4,"https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi"
"2022-2023","RB Leipzig","Bundesliga","Ørjan Nyland","NOR","GK","32-267",2,2,0,0,1,1,1.8,0.36,0.8,0.39,11,33,33.3,83,9,32.5,33.6,15,40,36.7,28,0,0,0,0,12.5,"https://fbref.com/en/players/bdedffac/Orjan-Nyland"
"2022-2023","Union Berlin","Bundesliga","Frederik Rønnow","DEN","GK","30-304",29,27,5,0,5,0,35.2,0.26,8.2,0.28,240,605,39.7,1115,109,44.6,36.5,163,66.3,49.4,434,43,9.9,29,1,13.5,"https://fbref.com/en/players/a70b8345/Frederik-Ronnow"
"2022-2023","Union Berlin","Bundesliga","Lennart Grill","GER","GK","24-130",5,11,2,0,1,0,9,0.28,-2,-0.41,48,108,44.4,197,28,48.2,37.1,17,76.5,55.2,47,8,17,7,1.4,15.1,"https://fbref.com/en/players/37998008/Lennart-Grill"
"2022-2023","Freiburg","Bundesliga","Mark Flekken","NED","GK","29-356",34,44,5,0,4,0,46.4,0.28,2.4,0.07,271,665,40.8,1231,121,40.2,37.6,231,73.6,58,434,32,7.4,43,1.26,15,"https://fbref.com/en/players/a92ab7be/Mark-Flekken"
"2022-2023","Bayer Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","33-192",33,47,7,1,5,2,41.3,0.25,-3.7,-0.11,117,373,31.4,899,148,31.3,32,202,45.5,38.7,404,27,6.7,26,0.79,14.1,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky"
"2022-2023","Bayer Leverkusen","Bundesliga","Andrey Lunyov","RUS","GK","31-203",1,2,0,0,0,0,1.4,0.35,-0.6,-0.61,4,10,40,41,7,24.4,30.3,3,0,15.3,6,1,16.7,1,1,13,"https://fbref.com/en/players/8a6ab963/Andrey-Lunyov"
"2022-2023","Eintracht Frankfurt","Bundesliga","Kevin Trapp","GER","GK","32-331",33,51,2,1,7,1,42.3,0.32,-7.7,-0.23,80,326,24.5,664,128,39.2,34.8,219,30.1,34.1,401,17,4.2,24,0.73,14.4,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp"
"2022-2023","Eintracht Frankfurt","Bundesliga","Diant Ramaj","GER","GK","21-258",1,1,0,0,1,0,1,0.2,0,0.01,1,3,33.3,21,7,9.5,29.1,4,25,22,15,1,6.7,1,1,11.5,"https://fbref.com/en/players/b90c4a43/Diant-Ramaj"
"2022-2023","Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","30-344",34,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1326,183,33.3,33.7,258,57,47.5,489,29,5.9,51,1.5,16.5,"https://fbref.com/en/players/db401046/Koen-Casteels"
"2022-2023","Mainz 05","Bundesliga","Robin Zentner","GER","GK","28-219",26,39,3,1,2,0,35.4,0.3,-3.6,-0.14,160,474,33.8,672,146,50,40,194,71.1,54.1,321,43,13.4,53,2.04,17.4,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner"
"2022-2023","Mainz 05","Bundesliga","Finn Dahmen","GER","GK","25-069",8,16,1,0,3,0,13.5,0.25,-2.5,-0.32,48,139,34.5,226,38,42.9,36.6,54,77.8,54.5,158,17,10.8,8,1,13.8,"https://fbref.com/en/players/dee3013b/Finn-Dahmen"
"2022-2023","Mönchengladbach","Bundesliga","Jonas Omlin","SUI","GK","29-145",14.3,18,2,0,0,0,18.1,0.29,0.1,0,57,177,32.2,638,74,22.3,28.7,100,35,35.3,220,15,6.8,20,1.4,14.8,"https://fbref.com/en/players/c631f952/Jonas-Omlin"
"2022-2023","Mönchengladbach","Bundesliga","Yann Sommer","SUI","GK","34-169",10,14,2,1,0,1,16.7,0.25,3.7,0.37,48,141,34,517,52,23,28.2,90,24.4,28.6,162,5,3.1,13,1.3,14.6,"https://fbref.com/en/players/420c18a1/Yann-Sommer"
"2022-2023","Mönchengladbach","Bundesliga","Tobias Sippel","GER","GK","35-074",5.7,12,1,0,3,0,11.6,0.33,-0.4,-0.08,25,106,23.6,212,23,33.5,32.7,48,72.9,53.1,88,2,2.3,4,0.71,13.1,"https://fbref.com/en/players/0d8a37c2/Tobias-Sippel"
"2022-2023","Mönchengladbach","Bundesliga","Jan Jakob Olschowsky","GER","GK","21-198",4,11,1,0,1,0,11.4,0.39,0.4,0.09,11,37,29.7,123,25,28.5,30.5,36,5.6,20.9,59,6,10.2,4,1,12.9,"https://fbref.com/en/players/fa4cabd1/Jan-Jakob-Olschowsky"
"2022-2023","Köln","Bundesliga","Marvin Schwäbe","GER","GK","28-040",34,54,4,4,4,3,42.3,0.3,-8.7,-0.26,154,404,38.1,1203,117,28.8,31.3,185,31.4,33.9,468,19,4.1,22,0.65,13.4,"https://fbref.com/en/players/87436846/Marvin-Schwabe"
"2022-2023","Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","33-002",34,57,2,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.2,1164,168,35.3,33.6,249,45.8,39.3,529,43,8.1,43,1.26,13.4,"https://fbref.com/en/players/47064058/Oliver-Baumann"
"2022-2023","Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","31-051",32.3,61,2,0,5,2,51.9,0.29,-7.1,-0.22,198,497,39.8,893,152,40.1,36.3,279,49.8,42.9,481,22,4.6,38,1.18,14.9,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka"
"2022-2023","Werder Bremen","Bundesliga","Michael Zetterer","GER","GK","27-327",1.7,3,0,0,1,0,3.2,0.24,0.2,0.11,16,33,48.5,49,13,51,41.6,12,66.7,50.3,15,3,20,4,2.37,16.5,"https://fbref.com/en/players/9b688ae1/Michael-Zetterer"
"2022-2023","Bochum","Bundesliga","Manuel Riemann","GER","GK","34-268",34,72,8,2,9,3,69,0.3,0,0,554,1175,47.1,1489,83,66.8,44.7,261,69,50.6,536,31,5.8,121,3.56,22.2,"https://fbref.com/en/players/9f941969/Manuel-Riemann"
"2022-2023","Augsburg","Bundesliga","Rafał Gikiewicz","POL","GK","35-221",23,41,1,1,4,0,41.3,0.28,0.3,0.01,185,452,40.9,916,127,33.3,33,234,62.8,48.9,363,21,5.8,45,1.96,16.7,"https://fbref.com/en/players/17376543/Rafal-Gikiewicz"
"2022-2023","Augsburg","Bundesliga","Tomáš Koubek","CZE","GK","30-282",11,22,0,1,0,2,22,0.36,2,0.19,77,225,34.2,414,48,37.9,36.5,96,70.8,52.5,176,10,5.7,22,2,16.8,"https://fbref.com/en/players/dc366c36/Tomas-Koubek"
"2022-2023","Stuttgart","Bundesliga","Florian Müller","GER","GK","25-203",19,34,1,2,3,0,27.2,0.3,-6.8,-0.36,98,212,46.2,599,98,26.9,29.2,133,38.3,36.6,260,6,2.3,28,1.47,18.9,"https://fbref.com/en/players/cbac6ec9/Florian-Muller"
"2022-2023","Stuttgart","Bundesliga","Fabian Bredlow","GER","GK","28-094",15,23,5,0,3,1,20.1,0.26,-1.9,-0.13,55,129,42.6,503,86,20.3,27.6,91,29.7,33.5,203,12,5.9,15,1,15.2,"https://fbref.com/en/players/d28339cb/Fabian-Bredlow"
"2022-2023","Schalke 04","Bundesliga","Alexander Schwolow","GER","GK","31-002",22.6,58,4,1,6,0,45.8,0.31,-12.2,-0.54,180,441,40.8,676,79,46.4,38.4,174,73,55.2,321,7,2.2,23,1.02,15,"https://fbref.com/en/players/0d55d942/Alexander-Schwolow"
"2022-2023","Schalke 04","Bundesliga","Ralf Fährmann","GER","GK","34-250",11.4,13,1,0,1,1,12.4,0.21,0.4,0.04,99,217,45.6,358,50,45,36.8,83,67.5,48.9,162,11,6.8,9,0.79,11.6,"https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann"
"2022-2023","Hertha BSC","Bundesliga","Oliver Christensen","DEN","GK","24-074",33,68,5,4,8,0,57.9,0.33,-10.1,-0.31,204,586,34.8,977,166,42.5,35.9,235,72.8,54.3,486,33,6.8,70,2.12,18.8,"https://fbref.com/en/players/af104654/Oliver-Christensen"
